time,open,high,low,close,Up,Down,Daily High,Daily Low
1752008400,146.638,147.186,146.25,146.308,,,147.186,146.25
1752094800,146.359,146.789,145.756,146.247,,,146.789,145.756
1752181200,146.26,147.523,146.134,147.423,,,147.523,146.134
1752440400,147.206,147.78,146.85,147.732,,,147.78,146.85
1752526800,147.728,149.022,147.552,148.849,,,149.022,147.552
1752613200,148.903,149.189,146.91,147.88,,,149.189,146.91
1752699600,147.832,149.09,147.73,148.608,,,149.09,147.73
1752786000,148.587,148.886,148.184,148.844,,,148.886,148.184
1753045200,147.975,148.666,147.082,147.346,,,148.666,147.082
1753131600,147.375,147.95,146.306,146.646,,,147.95,146.306
1753218000,146.626,147.214,146.11,146.51,,,147.214,146.11
1753304400,146.478,147.028,145.854,147.002,,,147.028,145.854
1753390800,146.989,147.943,146.814,147.668,,,147.943,146.814
1753650000,147.764,148.58,147.516,148.545,,,148.58,147.516
1753736400,148.495,148.81,148.158,148.472,,,148.81,148.158
1753822800,148.491,149.538,147.804,149.526,,,149.538,147.804
1753909200,149.482,150.844,148.59,150.766,,,150.844,148.59
1753995600,150.718,150.918,147.293,147.42,,,150.918,147.293
1754254800,147.262,148.09,146.866,147.092,,,148.09,146.866
1754341200,147.144,147.836,146.62,147.556,,,147.836,146.62
1754427600,147.591,147.886,146.976,147.357,,,147.886,146.976
1754514000,147.37,147.712,146.69,147.152,,,147.712,146.69
1754600400,147.129,147.904,146.72,147.752,,,147.904,146.72
1754859600,147.572,148.252,147.352,148.146,,,148.252,147.352
1754946000,148.128,148.52,147.579,147.856,,,148.52,147.579
1755032400,147.786,148.17,147.087,147.382,,,148.17,147.087
1755118800,147.392,147.967,146.214,147.752,,,147.967,146.214
1755205200,147.757,147.875,146.739,147.154,,,147.875,146.739
1755464400,147.202,147.988,147.084,147.855,,,147.988,147.084
1755550800,147.77,148.115,147.443,147.67,,,148.115,147.443
1755637200,147.643,147.818,146.872,147.312,,,147.818,146.872
1755723600,147.349,148.408,147.256,148.389,,,148.408,147.256
1755810000,148.337,148.778,146.572,146.926,,,148.778,146.572
1756069200,146.887,147.942,146.802,147.753,,,147.942,146.802
1756155600,147.752,147.91,146.988,147.43,,,147.91,146.988
