time,open,high,low,close,Up,Down,Daily High,Daily Low
1752008400,146.537,147.181,146.242,146.3,,,147.181,146.242
1752094800,146.311,146.788,145.753,146.242,,,146.788,145.753
1752181200,146.251,147.52,146.136,147.418,,,147.52,146.136
1752440400,147.183,147.779,146.849,147.73,,,147.779,146.849
1752526800,147.714,149.018,147.548,148.836,,,149.018,147.548
1752613200,148.839,149.19,146.911,147.871,,,149.19,146.911
1752699600,147.849,149.077,147.725,148.601,,,149.077,147.725
1752786000,148.564,148.886,148.181,148.832,,,148.886,148.181
1753045200,147.901,148.664,147.08,147.338,,,148.664,147.08
1753131600,147.303,147.948,146.309,146.64,,,147.948,146.309
1753218000,146.6,147.214,146.107,146.473,,,147.214,146.107
1753304400,146.477,147.019,145.852,146.994,,,147.019,145.852
1753390800,146.968,147.94,146.809,147.66,,,147.94,146.809
1753650000,147.711,148.578,147.512,148.54,,,148.578,147.512
1753736400,148.474,148.811,148.156,148.468,,,148.811,148.156
1753822800,148.436,149.537,147.803,149.523,,,149.537,147.803
1753909200,149.482,150.84,148.589,150.76,,,150.84,148.589
1753995600,150.712,150.917,147.29,147.383,,,150.917,147.29
1754254800,147.241,148.092,146.865,147.092,,,148.092,146.865
1754341200,147.061,147.836,146.62,147.557,,,147.836,146.62
1754427600,147.556,147.887,146.975,147.349,,,147.887,146.975
1754514000,147.315,147.71,146.689,147.144,,,147.71,146.689
1754600400,147.056,147.904,146.718,147.744,,,147.904,146.718
1754859600,147.513,148.252,147.347,148.142,,,148.252,147.347
1754946000,148.075,148.521,147.575,147.851,,,148.521,147.575
1755032400,147.765,148.169,147.089,147.375,,,148.169,147.089
1755118800,147.339,147.961,146.213,147.747,,,147.961,146.213
1755205200,147.723,147.87,146.732,147.173,,,147.87,146.732
1755464400,147.154,147.986,147.081,147.847,,,147.986,147.081
1755550800,147.779,148.11,147.444,147.669,,,148.11,147.444
1755637200,147.598,147.818,146.869,147.306,,,147.818,146.869
1755723600,147.284,148.408,147.254,148.38,,,148.408,147.254
1755810000,148.293,148.778,146.572,146.941,,,148.778,146.572
1756069200,146.887,147.94,146.763,147.749,,,147.94,146.763
1756155600,147.774,147.911,146.987,147.429,,,147.911,146.987
1756242000,147.345,148.183,147.265,147.417,,,148.183,147.265
1756328400,147.37,147.491,146.663,146.924,,,147.491,146.663
1756414800,146.861,147.406,146.762,147.036,,,147.406,146.762
1756674000,147.042,147.383,146.784,147.175,,,147.383,146.784
1756760400,147.127,148.943,147.046,148.335,,,148.943,147.046
1756846800,148.293,149.137,147.878,148.106,,,149.137,147.878
1756933200,148.063,148.78,147.791,148.466,,,148.78,147.791
1757019600,148.471,148.517,146.815,147.385,,,148.517,146.815
1757278800,148.14,148.581,147.34,147.519,,,148.581,147.34
1757365200,147.432,147.523,146.306,147.402,,,147.523,146.306
1757451600,147.323,147.647,147.101,147.46,,,147.647,147.101
1757538000,147.387,148.177,146.981,147.221,,,148.177,146.981
1757624400,147.177,148.071,147.12,147.672,,,148.071,147.12
1757883600,147.566,147.784,147.228,147.411,,,147.784,147.228
1757970000,147.345,147.541,146.28,146.452,,,147.541,146.28
1758056400,146.434,147.049,145.475,146.984,,,147.049,145.475
1758142800,146.929,148.266,146.768,147.988,,,148.266,146.768
1758229200,147.92,148.286,147.194,147.961,,,148.286,147.194
1758488400,147.888,148.378,147.657,147.733,,,148.378,147.657
1758574800,147.706,147.926,147.461,147.653,,,147.926,147.461
1758661200,147.578,148.915,147.514,148.902,,,148.915,147.514
1758747600,148.841,149.928,148.555,149.791,,,149.928,148.555
1758834000,149.778,149.957,149.405,149.521,,,149.957,149.405
1759093200,149.45,149.517,148.469,148.593,,,149.517,148.469
1759179600,148.578,148.846,147.652,147.929,,,148.846,147.652
1759266000,147.819,148.225,146.586,147.068,,,148.225,146.586
1759352400,147.043,147.514,146.599,147.255,,,147.514,146.599
1759438800,147.221,147.82,147.065,147.484,,,147.82,147.065
1759698000,149.478,150.474,149.043,150.366,,,150.474,149.043
1759784400,150.27,152.045,150.172,151.891,,,152.045,150.172
1759870800,151.886,153.001,151.738,152.694,,,153.001,151.738
1759957200,152.655,153.236,152.105,153.085,,,153.236,152.105
1760043600,152.968,153.278,151.177,151.184,,,153.278,151.177
1760302800,151.825,152.451,151.723,152.301,,,152.451,151.723
1760389200,152.194,152.612,151.601,151.805,,,152.612,151.601
1760475600,151.757,151.873,150.899,151.055,,,151.873,150.899
1760562000,151.015,151.402,150.209,150.431,,,151.402,150.209
1760648400,150.381,150.638,149.378,150.596,,,150.638,149.378
1760907600,150.423,151.205,150.271,150.747,,,151.205,150.271
1760994000,150.668,152.173,150.467,151.925,,,152.173,150.467
1761080400,151.875,152.048,151.491,151.968,,,152.048,151.491
1761166800,151.951,152.798,151.82,152.587,,,152.798,151.82
1761253200,152.498,153.065,152.257,152.885,,,153.065,152.257
1761512400,152.768,153.254,152.566,152.876,,,153.254,152.566
1761598800,152.842,152.87,151.759,152.101,,,152.87,151.759
1761685200,152.094,153.058,151.539,152.728,,,153.058,151.539
1761771600,152.633,154.446,152.162,154.151,,,154.446,152.162
1761858000,154.107,154.414,153.652,154.056,,,154.414,153.652
1762120800,153.971,154.299,153.912,154.203,,,154.299,153.912
1762207200,154.191,154.487,153.317,153.651,,,154.487,153.317
1762293600,153.639,154.356,152.958,154.113,,,154.356,152.958
1762380000,154.091,154.143,152.83,153.066,,,154.143,152.83
1762466400,153.016,153.595,152.818,153.419,,,153.595,152.818
1762725600,153.698,154.249,153.443,154.13,,,154.249,153.443
1762812000,154.045,154.496,153.668,154.147,,,154.496,153.668
1762898400,154.109,155.045,154.036,154.813,,,155.045,154.036
1762984800,154.745,155.017,154.127,154.518,,,155.017,154.127
1763071200,154.508,154.762,153.616,154.514,,,154.762,153.616
1763330400,154.546,155.305,154.415,155.254,,,155.305,154.415
1763416800,155.177,155.735,154.819,155.522,,,155.735,154.819
1763503200,155.46,157.181,155.211,157.156,,,157.181,155.211
1763589600,157.13,157.891,156.877,157.457,,,157.891,156.877
1763676000,157.447,157.544,156.199,156.345,,,157.544,156.199
1763935200,156.34,157.19,156.336,156.917,,,157.19,156.336
1764021600,156.831,156.982,155.802,156.073,,,156.982,155.802
1764108000,155.964,156.738,155.649,156.451,,,156.738,155.649
1764194400,156.452,156.452,155.72,156.297,,,156.452,155.72
1764280800,156.262,156.585,155.983,156.159,,,156.585,155.983
1764540000,156.058,156.153,154.666,155.476,,,156.153,154.666
1764626400,155.425,156.18,155.404,155.865,,,156.18,155.404
1764712800,155.8,155.905,155.01,155.221,,,155.905,155.01
1764799200,155.233,155.542,154.507,155.112,,,155.542,154.507
1764885600,155.068,155.495,154.338,155.36,,,155.495,154.338
1765144800,155.178,155.985,154.899,155.919,,,155.985,154.899
1765231200,155.846,156.956,155.744,156.89,,,156.956,155.744
1765317600,156.777,156.941,155.795,156.02,,,156.941,155.795
1765404000,155.916,156.164,154.943,155.57,,,156.164,154.943
1765490400,155.558,156.13,155.45,155.847,,,156.13,155.45
1765749600,155.8,155.986,154.832,155.213,,,155.986,154.832
1765836000,155.158,155.241,154.393,154.715,,,155.241,154.393
1765922400,154.687,155.75,154.514,155.69,,,155.75,154.514
1766008800,155.621,155.975,155.285,155.552,,,155.975,155.285
1766095200,155.462,157.764,155.449,157.763,,,157.764,155.449
1766354400,157.676,157.71,156.705,157.032,,,157.71,156.705
1766440800,156.979,157.029,155.651,156.243,,,157.029,155.651
1766527200,156.179,156.283,155.553,155.871,,,156.283,155.553
1766700000,155.881,156.73,155.753,156.592,,,156.73,155.753
1766959200,156.494,156.539,155.918,156.035,,,156.539,155.918
1767045600,156.003,156.566,155.744,156.421,,,156.566,155.744
1767132000,156.325,156.996,156.313,156.717,,,156.996,156.313
1767304800,156.666,156.999,156.519,156.844,,,156.999,156.519
1767564000,156.704,157.297,156.115,156.4,,,157.297,156.115
1767650400,156.294,156.797,156.164,156.663,,,156.797,156.164
1767736800,156.598,156.806,156.294,156.75,,,156.806,156.294
1767823200,156.73,157.072,156.456,156.86,,,157.072,156.456
1767909600,156.759,158.183,156.744,157.95,,,158.183,156.744
1768168800,158.077,158.207,157.521,158.16,,,158.207,157.521
1768255200,158.088,159.193,157.894,159.167,,,159.193,157.894
1768341600,159.085,159.455,158.1,158.424,,,159.455,158.1
1768428000,158.365,158.88,158.176,158.618,,,158.88,158.176
1768514400,158.587,158.703,157.821,158.093,,,158.703,157.821
1768773600,157.877,158.165,157.423,158.122,,,158.165,157.423
1768860000,158.038,158.603,157.467,158.138,,,158.603,157.467
1768946400,158.121,158.533,157.748,158.289,,,158.533,157.748
1769032800,158.256,158.894,158.179,158.425,,,158.894,158.179
1769119200,158.349,159.223,155.611,155.729,,,159.223,155.611
1769378400,154.662,155.345,153.305,154.204,,,155.345,153.305
1769464800,154.12,154.877,152.091,152.182,,,154.877,152.091
1769551200,152.167,154.048,152.157,153.396,,,154.048,152.157
1769637600,153.343,153.536,152.676,153.105,,,153.536,152.676
1769724000,152.974,154.795,152.869,154.768,,,154.795,152.869
1769983200,154.867,155.788,154.548,155.599,,,155.788,154.548
1770069600,155.572,156.087,155.303,155.778,,,156.087,155.303
1770156000,155.716,156.948,155.691,156.861,,,156.948,155.691
